Full Name,Nationality,NRIC,Passport No. ,New Student Matric/ID No. , Level of study,State,Location,Internet Coverage Rate,Telco, Income ,Access,,,,,,,,,,,,,,
,Malaysian,,,4577,PhD,Perak,Outskirts,Strong (80% -90%),Celcom,T20,Yes,,,,,,,,,,,,,,
,Malaysian,,,4578,Undergraduate,Selangor,Small town,Strong (80% -90%),Maxis,B40,Yes,,,,,,,,,,,,,,
,Non Malaysian,,,4579,Undergraduate,Wilayah Persekutuan,City centre,Moderate (60% - 79%),YTL Broadband,B40,Yes,,,,,,,,,,,,,,
,Non Malaysian,,,4580,Undergraduate,Wilayah Persekutuan,City centre,Moderate (60% - 79%),UMobile,T20,Yes,,,,,,,,,,,,,,
,Non Malaysian,,,4581,Master,Wilayah Persekutuan,City centre,Moderate (60% - 79%),UMobile,B40,Yes,,,,,,,,,,,,,,
,Non Malaysian,,,4582,Master,Selangor,City centre,Moderate (60% - 79%),Maxis,B40,Yes,,,,,,,,,,,,,,
,Non Malaysian,,,4583,PhD,Wilayah Persekutuan,City centre,Strong (80% -90%),UM Wi-Fi,B40,Yes,,,,,,,,,,,,,,
,Non Malaysian,,,4584,Master,Selangor,City centre,Poor (40%-59%),UMobile,B40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4585,Undergraduate,Kedah,Small town,Poor (40%-59%),Digi,M40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4586,Undergraduate,Sarawak,Outskirts,Strong (80% -90%),NA,3453,Yes,,,,,,,,,,,,,,
,Malaysian,,,4587,Undergraduate,Wilayah Persekutuan,City centre,Moderate (60% - 79%),Maxis,M40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4588,Undergraduate,Wilayah Persekutuan,City centre,Poor (40%-59%),NA,B40,No,,,,,,,,,,,,,,
,Malaysian,,,4589,Undergraduate,Negeri Sembilan,City centre,Poor (40%-59%),Digi,7677,Yes,,,,,,,,,,,,,,
,Malaysian,,,4590,Undergraduate,Pahang,Small town,Poor (40%-59%),Celcom,M40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,4591,PhD,Terengganu,Outskirts,Poor (40%-59%),UMobile,B40,No,,,,,,,,,,,,,,
,Malaysian,,,4592,Undergraduate,Sarawak,Outskirts,Moderate (60% - 79%),RedOne,M40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4593,Undergraduate,Perak,Outskirts,Poor (40%-59%),UMobile,B40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,4594,Undergraduate,Wilayah Persekutuan,City centre,Moderate (60% - 79%),Maxis,B40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,4595,Undergraduate,Johor,Small town,Strong (80% -90%),Digi,B40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,4596,Undergraduate,Pulau Pinang,Small town,Very strong (91% - 100%),TIME,7557,Yes,,,,,,,,,,,,,,
,Malaysian,,,4597,Undergraduate,Wilayah Persekutuan-UM,City centre,Strong (80% -90%),Digi,M40,Yes,,,,,,,,,,,,,,
,Non Malaysian,,,4598,Undergraduate,Wilayah Persekutuan,City centre,Very strong (91% - 100%),NA,1211,Yes,,,,,,,,,,,,,,
,Malaysian,,,4599,Undergraduate,Perak,Outskirts,Strong (80% -90%),DiGi,B40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4600,Undergraduate,Selangor,Small town,Very strong (91% - 100%),ONEXOX,M40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4601,Undergraduate,Wilayah Persekutuan,City centre,Very strong (91% - 100%),TM,M40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4602,Undergraduate,Selangor,Small town,Moderate (60% - 79%),Celcom,B40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4603,Master,Wilayah Persekutuan,City centre,Moderate (60% - 79%),TM,B40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4604,Master,Selangor,Small town,Strong (80% -90%),Celcom,T20,Yes,,,,,,,,,,,,,,
,Malaysian,,,4605,Undergraduate,Perak,Small town,Poor (40%-59%),TM,B40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4606,Undergraduate,Kedah,Small town,Moderate (60% - 79%),Maxis,B40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4607,Masters,Selangor,City centre,Very strong (91% - 100%),Maxis,B40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4608,Master,Selangor,City centre,Very strong (91% - 100%),TM,M40,Yes,,,,,,,,,,,,,,
,Non Malaysian,,,4609,PhD,Wilayah Persekutuan,Small town,Very strong (91% - 100%),TM,B40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4610,Master,Pahang,Small town,Strong (80% -90%),Maxis,B40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4611,Undergraduate,Johor,Outskirts,Strong (80% -90%),NA,T20,NA,,,,,,,,,,,,,,
,Malaysian,,,4612,Master,Wilayah Persekutuan,City centre,Very strong (91% - 100%),UMobile,B40,Yes,,,,,,,,,,,,,,
,Non Malaysian,,,4613,PhD,Wilayah Persekutuan,City centre,Moderate (60% - 79%),TM,B40,Yes,,,,,,,,,,,,,,
,Non Malaysian,,,4614,Master,Selangor,City centre,Strong (80% -90%),TIME,B40,Yes,,,,,,,,,,,,,,
,Non Malaysian,,,4615,Master,Wilayah Persekutuan,City centre,Moderate (60% - 79%),UM Wi-Fi,M40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4616,Undergraduate,Selangor,City centre,Moderate (60% - 79%),Celcom,B40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4617,PhD,Selangor,Small town,Very strong (91% - 100%),UMobile,M40,Yes,,,,,,,,,,,,,,
,Non Malaysian,,,4618,PhD,Wilayah Persekutuan,City centre,Moderate (60% - 79%),Digi,B40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4619,Master,Selangor,Outskirts,Moderate (60% - 79%),Maxis,M40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4620,Undergraduate,Selangor,City centre,Moderate (60% - 79%),UMobile,B40,Yes,,,,,,,,,,,,,,
,Non Malaysian,,,4621,PhD,Selangor,Small town,Strong (80% -90%),TM,B40,Yes,,,,,,,,,,,,,,
,Non Malaysian,,,4622,Master,Selangor,City centre,Very strong (91% - 100%),Digi,B40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4623,Master,Wilayah Persekutuan,City centre,Strong (80% -90%),TM,M40,Yes,,,,,,,,,,,,,,
,Non Malaysian,,,4624,Master,Wilayah Persekutuan,Small town,Moderate (60% - 79%),Maxis,B40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4625,Master,Selangor,Outskirts,Strong (80% -90%),TM,M40,Yes,,,,,,,,,,,,,,
,Non Malaysian,,,4626,Undergraduate,Selangor,City centre,Moderate (60% - 79%),Digi,M40,Yes,,,,,,,,,,,,,,
,Non Malaysian,,,4627,Master,Wilayah Persekutuan,City centre,Moderate (60% - 79%),Maxis,B40,Yes,,,,,,,,,,,,,,
,Non Malaysian,,,4628,Master,Selangor,Small town,Moderate (60% - 79%),TM,B40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4629,Undergraduate,Johor,Small town,Moderate (60% - 79%),Maxis,B40,Yes,,,,,,,,,,,,,,
,,,,4630,Master,Wilayah Persekutuan,City centre,Very strong (91% - 100%),UMobile,B40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4631,Master,Wilayah Persekutuan,City centre,Moderate (60% - 79%),UMobile,B40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4632,Undergraduate,Selangor,Small town,Poor (40%-59%),Maxis,M40,No,,,,,,,,,,,,,,
,Non Malaysian,,,4633,Master,Negeri Sembilan,Small town,Strong (80% -90%),YTL Broadband,B40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4634,Master,Selangor,Small town,Strong (80% -90%),Maxis,B40,Yes,,,,,,,,,,,,,,
